No.,Time,Source,Destination,Protocol,Length,Sequence Number (raw),Acknowledgment number (raw),Acknowledgment Number,Sequence Number,Info
32897,46.398792413,128.135.11.239,192.168.0.100,TCP,1594,3060375921.0,1535537520.0,1853.0,36605.0,"443  >  49734 [PSH, ACK] Seq=36605 Ack=1853 Win=64128 Len=1448 TSval=80184384 TSecr=3550670644 [TCP segment of a reassembled PDU]"
32901,46.399425078,128.135.11.239,192.168.0.100,TCP,1594,3060377369.0,1535537520.0,1853.0,38053.0,443  >  49734 [ACK] Seq=38053 Ack=1853 Win=64128 Len=1448 TSval=80184386 TSecr=3550670644 [TCP segment of a reassembled PDU]
32902,46.399443401,128.135.11.239,192.168.0.100,TCP,1594,3060378817.0,1535537520.0,1853.0,39501.0,443  >  49734 [ACK] Seq=39501 Ack=1853 Win=64128 Len=1448 TSval=80184386 TSecr=3550670644 [TCP segment of a reassembled PDU]
32903,46.399449161,128.135.11.239,192.168.0.100,TCP,1594,3060380265.0,1535537520.0,1853.0,40949.0,443  >  49734 [ACK] Seq=40949 Ack=1853 Win=64128 Len=1448 TSval=80184386 TSecr=3550670644 [TCP segment of a reassembled PDU]
32904,46.399453643,128.135.11.239,192.168.0.100,TCP,1594,3060381713.0,1535537520.0,1853.0,42397.0,443  >  49734 [ACK] Seq=42397 Ack=1853 Win=64128 Len=1448 TSval=80184386 TSecr=3550670644 [TCP segment of a reassembled PDU]
32908,46.401640388,128.135.11.239,192.168.0.100,TCP,1594,3060377369.0,1535537520.0,1853.0,38053.0,[TCP Retransmission] 443  >  49734 [ACK] Seq=38053 Ack=1853 Win=64128 Len=1448 TSval=80184386 TSecr=3550670644
32909,46.402250588,128.135.11.239,192.168.0.100,TCP,1594,3060378817.0,1535537520.0,1853.0,39501.0,[TCP Retransmission] 443  >  49734 [ACK] Seq=39501 Ack=1853 Win=64128 Len=1448 TSval=80184386 TSecr=3550670644
32910,46.402266607,128.135.11.239,192.168.0.100,TCP,1594,3060380265.0,1535537520.0,1853.0,40949.0,[TCP Retransmission] 443  >  49734 [ACK] Seq=40949 Ack=1853 Win=64128 Len=1448 TSval=80184386 TSecr=3550670644
32911,46.402287676,128.135.11.239,192.168.0.100,TCP,1594,3060381713.0,1535537520.0,1853.0,42397.0,[TCP Retransmission] 443  >  49734 [ACK] Seq=42397 Ack=1853 Win=64128 Len=1448 TSval=80184386 TSecr=3550670644
32912,46.402292583,128.135.11.239,192.168.0.100,TCP,1594,3060383161.0,1535537520.0,1853.0,43845.0,443  >  49734 [ACK] Seq=43845 Ack=1853 Win=64128 Len=1448 TSval=80184386 TSecr=3550670644 [TCP segment of a reassembled PDU]
32913,46.402298899,128.135.11.239,192.168.0.100,TCP,1594,3060384609.0,1535537520.0,1853.0,45293.0,"443  >  49734 [PSH, ACK] Seq=45293 Ack=1853 Win=64128 Len=1448 TSval=80184386 TSecr=3550670644 [TCP segment of a reassembled PDU]"
32917,46.402521424,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060358545.0,19229.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=19229 Win=129600 Len=0 TSval=3550670646 TSecr=80184383
32918,46.402528059,192.168.0.100,128.135.11.239,TLSv1.3,865,2000425228.0,2039132103.0,1.0,1.0,Client Hello
32919,46.402532532,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060361441.0,22125.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=22125 Win=126720 Len=0 TSval=3550670646 TSecr=80184383
32920,46.402536301,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060362889.0,23573.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=23573 Win=125248 Len=0 TSval=3550670646 TSecr=80184383
32921,46.402539938,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060364337.0,25021.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=25021 Win=123776 Len=0 TSval=3550670646 TSecr=80184383
32922,46.402543619,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060364337.0,25021.0,1853.0,[TCP Window Update] 49734  >  443 [ACK] Seq=1853 Ack=25021 Win=131072 Len=0 TSval=3550670646 TSecr=80184383
32940,46.412210879,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060358545.0,19229.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=19229 Win=129600 Len=0 TSval=3550670646 TSecr=80184383
32941,46.412228414,192.168.0.100,128.135.11.239,TCP,865,2000425228.0,2039132103.0,1.0,1.0,"[TCP Retransmission] 49735  >  443 [PSH, ACK] Seq=1 Ack=1 Win=131712 Len=719 TSval=2504988627 TSecr=80184379"
32942,46.412233251,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060361441.0,22125.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=22125 Win=126720 Len=0 TSval=3550670646 TSecr=80184383
32943,46.412237057,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060362889.0,23573.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=23573 Win=125248 Len=0 TSval=3550670646 TSecr=80184383
32944,46.412240729,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060364337.0,25021.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=25021 Win=123776 Len=0 TSval=3550670646 TSecr=80184383
32945,46.41224436,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060364337.0,25021.0,1853.0,[TCP Window Update] 49734  >  443 [ACK] Seq=1853 Ack=25021 Win=131072 Len=0 TSval=3550670646 TSecr=80184383
32949,46.41313704,128.135.11.239,192.168.0.100,TCP,1594,3060386057.0,1535537520.0,1853.0,46741.0,443  >  49734 [ACK] Seq=46741 Ack=1853 Win=64128 Len=1448 TSval=80184401 TSecr=3550670646 [TCP segment of a reassembled PDU]
32963,46.418836959,128.135.11.239,192.168.0.100,TCP,1594,3060386057.0,1535537520.0,1853.0,46741.0,[TCP Retransmission] 443  >  49734 [ACK] Seq=46741 Ack=1853 Win=64128 Len=1448 TSval=80184401 TSecr=3550670646
32964,46.418847162,128.135.11.239,192.168.0.100,TCP,1594,3060387505.0,1535537520.0,1853.0,48189.0,"443  >  49734 [PSH, ACK] Seq=48189 Ack=1853 Win=64128 Len=1448 TSval=80184401 TSecr=3550670646 [TCP segment of a reassembled PDU]"
32965,46.418852912,128.135.11.239,192.168.0.100,TCP,1594,3060388953.0,1535537520.0,1853.0,49637.0,443  >  49734 [ACK] Seq=49637 Ack=1853 Win=64128 Len=1448 TSval=80184401 TSecr=3550670646 [TCP segment of a reassembled PDU]
32966,46.418857726,128.135.11.239,192.168.0.100,TCP,1594,3060390401.0,1535537520.0,1853.0,51085.0,443  >  49734 [ACK] Seq=51085 Ack=1853 Win=64128 Len=1448 TSval=80184401 TSecr=3550670646 [TCP segment of a reassembled PDU]
32967,46.418863362,128.135.11.239,192.168.0.100,TLSv1.3,1594,3060391849.0,1535537520.0,1853.0,52533.0,Application Data
32968,46.418867882,128.135.11.239,192.168.0.100,TCP,1594,3060393297.0,1535537520.0,1853.0,53981.0,443  >  49734 [ACK] Seq=53981 Ack=1853 Win=64128 Len=1448 TSval=80184401 TSecr=3550670646 [TCP segment of a reassembled PDU]
32969,46.418873159,128.135.11.239,192.168.0.100,TCP,146,2039132103.0,2000425947.0,720.0,1.0,443  >  49735 [ACK] Seq=1 Ack=720 Win=64512 Len=0 TSval=80184401 TSecr=2504988627
32970,46.41887812,128.135.11.239,192.168.0.100,TCP,1594,3060394745.0,1535537520.0,1853.0,55429.0,"443  >  49734 [PSH, ACK] Seq=55429 Ack=1853 Win=64128 Len=1448 TSval=80184401 TSecr=3550670646 [TCP segment of a reassembled PDU]"
32971,46.418882291,128.135.11.239,192.168.0.100,TLSv1.3,406,2039132103.0,2000425947.0,720.0,1.0,"Server Hello, Change Cipher Spec, Application Data, Application Data"
32979,46.419706627,192.168.0.100,128.135.11.239,TLSv1.3,865,3883439902.0,27179968.0,1.0,1.0,Client Hello
32980,46.419711627,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060365785.0,26469.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=26469 Win=129600 Len=0 TSval=3550670648 TSecr=80184383
32981,46.41971552,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060368681.0,29365.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=29365 Win=126720 Len=0 TSval=3550670648 TSecr=80184383
32982,46.419719176,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060368681.0,29365.0,1853.0,[TCP Window Update] 49734  >  443 [ACK] Seq=1853 Ack=29365 Win=131072 Len=0 TSval=3550670648 TSecr=80184383
32983,46.419722828,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060371577.0,32261.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=32261 Win=128128 Len=0 TSval=3550670648 TSecr=80184384
32984,46.419726473,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060373025.0,33709.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=33709 Win=131072 Len=0 TSval=3550670648 TSecr=80184384
32985,46.419730103,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060377369.0,38053.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=38053 Win=128128 Len=0 TSval=3550670648 TSecr=80184384
32986,46.419733718,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060377369.0,38053.0,1853.0,[TCP Window Update] 49734  >  443 [ACK] Seq=1853 Ack=38053 Win=131072 Len=0 TSval=3550670648 TSecr=80184384
32987,46.419737348,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060380265.0,40949.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=40949 Win=128128 Len=0 TSval=3550670651 TSecr=80184386
32988,46.419743647,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060383161.0,43845.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=43845 Win=125248 Len=0 TSval=3550670651 TSecr=80184386
32989,46.41974735,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060383161.0,43845.0,1853.0,[TCP Window Update] 49734  >  443 [ACK] Seq=1853 Ack=43845 Win=131072 Len=0 TSval=3550670651 TSecr=80184386
32990,46.419750986,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060386057.0,46741.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=46741 Win=128128 Len=0 TSval=3550670651 TSecr=80184386
32991,46.419754736,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060386057.0,46741.0,1853.0,[TCP Window Update] 49734  >  443 [ACK] Seq=1853 Ack=46741 Win=131072 Len=0 TSval=3550670651 TSecr=80184386
32997,46.421546418,128.135.11.239,192.168.0.100,TCP,1594,3060396193.0,1535537520.0,1853.0,56877.0,443  >  49734 [ACK] Seq=56877 Ack=1853 Win=64128 Len=1448 TSval=80184409 TSecr=3550670648 [TCP segment of a reassembled PDU]
32998,46.421561501,128.135.11.239,192.168.0.100,TCP,1594,3060397641.0,1535537520.0,1853.0,58325.0,443  >  49734 [ACK] Seq=58325 Ack=1853 Win=64128 Len=1448 TSval=80184409 TSecr=3550670648 [TCP segment of a reassembled PDU]
33003,46.422487257,128.135.11.239,192.168.0.100,TCP,1594,3060396193.0,1535537520.0,1853.0,56877.0,[TCP Out-Of-Order] 443  >  49734 [ACK] Seq=56877 Ack=1853 Win=64128 Len=1448 TSval=80184409 TSecr=3550670648 [TCP segment of a reassembled PDU]
33004,46.422519273,128.135.11.239,192.168.0.100,TCP,1594,3060397641.0,1535537520.0,1853.0,58325.0,[TCP Retransmission] 443  >  49734 [ACK] Seq=58325 Ack=1853 Win=64128 Len=1448 TSval=80184409 TSecr=3550670648
33005,46.422525815,128.135.11.239,192.168.0.100,TCP,1594,3060399089.0,1535537520.0,1853.0,59773.0,443  >  49734 [ACK] Seq=59773 Ack=1853 Win=64128 Len=1448 TSval=80184409 TSecr=3550670648 [TCP segment of a reassembled PDU]
33006,46.422530338,128.135.11.239,192.168.0.100,TCP,146,27179968.0,3883440621.0,720.0,1.0,443  >  49736 [ACK] Seq=1 Ack=720 Win=64512 Len=0 TSval=80184409 TSecr=321979776
33007,46.422536367,128.135.11.239,192.168.0.100,TCP,1594,3060400537.0,1535537520.0,1853.0,61221.0,"443  >  49734 [PSH, ACK] Seq=61221 Ack=1853 Win=64128 Len=1448 TSval=80184409 TSecr=3550670648 [TCP segment of a reassembled PDU]"
33008,46.422540731,128.135.11.239,192.168.0.100,TCP,1594,3060401985.0,1535537520.0,1853.0,62669.0,443  >  49734 [ACK] Seq=62669 Ack=1853 Win=64128 Len=1448 TSval=80184409 TSecr=3550670648 [TCP segment of a reassembled PDU]
33009,46.422546404,128.135.11.239,192.168.0.100,TCP,1594,3060403433.0,1535537520.0,1853.0,64117.0,443  >  49734 [ACK] Seq=64117 Ack=1853 Win=64128 Len=1448 TSval=80184409 TSecr=3550670648 [TCP segment of a reassembled PDU]
33010,46.422551999,128.135.11.239,192.168.0.100,TCP,1594,3060404881.0,1535537520.0,1853.0,65565.0,"443  >  49734 [PSH, ACK] Seq=65565 Ack=1853 Win=64128 Len=1448 TSval=80184409 TSecr=3550670648 [TCP segment of a reassembled PDU]"
33014,46.423481307,128.135.11.239,192.168.0.100,TCP,1594,3060406329.0,1535537520.0,1853.0,67013.0,443  >  49734 [ACK] Seq=67013 Ack=1853 Win=64128 Len=1448 TSval=80184409 TSecr=3550670651 [TCP segment of a reassembled PDU]
33015,46.423496495,128.135.11.239,192.168.0.100,TLSv1.3,1594,3060407777.0,1535537520.0,1853.0,68461.0,Application Data
33016,46.423507052,128.135.11.239,192.168.0.100,TCP,1594,3060409225.0,1535537520.0,1853.0,69909.0,443  >  49734 [ACK] Seq=69909 Ack=1853 Win=64128 Len=1448 TSval=80184409 TSecr=3550670651 [TCP segment of a reassembled PDU]
33017,46.423512999,128.135.11.239,192.168.0.100,TCP,1594,3060410673.0,1535537520.0,1853.0,71357.0,443  >  49734 [ACK] Seq=71357 Ack=1853 Win=64128 Len=1448 TSval=80184409 TSecr=3550670651 [TCP segment of a reassembled PDU]
33018,46.423517605,128.135.11.239,192.168.0.100,TCP,1594,3060412121.0,1535537520.0,1853.0,72805.0,"443  >  49734 [PSH, ACK] Seq=72805 Ack=1853 Win=64128 Len=1448 TSval=80184409 TSecr=3550670651 [TCP segment of a reassembled PDU]"
33019,46.423535944,128.135.11.239,192.168.0.100,TCP,1594,3060413569.0,1535537520.0,1853.0,74253.0,443  >  49734 [ACK] Seq=74253 Ack=1853 Win=64128 Len=1448 TSval=80184409 TSecr=3550670651 [TCP segment of a reassembled PDU]
33020,46.42354186,128.135.11.239,192.168.0.100,TCP,1594,3060415017.0,1535537520.0,1853.0,75701.0,"443  >  49734 [PSH, ACK] Seq=75701 Ack=1853 Win=64128 Len=1448 TSval=80184409 TSecr=3550670651 [TCP segment of a reassembled PDU]"
